T119	-44.98980	-21.22986
T120	-44.98858	-21.23001
T121	-44.98964	-21.23048
T122	-44.99101	-21.23142
T123	-44.98145	-21.22712
T124	-44.98134	-21.22755
T125	-44.98077	-21.22711
T126	-44.97969	-21.22719
T127	-44.97967	-21.22755
T128	-44.98204	-21.22949
T129	-44.97985	-21.23112
T130	-44.98062	-21.22874
T131	-44.97813	-21.22950
T132	-44.98289	-21.22646



!Pontos dos trafos
!Alexandre Araujo
T133	-44.98296	-21.22482
T134	-44.97849	-21.22450
T135	-44.97908	-21.22442
T136	-44.97817	-21.22413
T137	-44.97969	-21.22417
T138	-44.97911	-21.22395
T139	-44.98856	-21.22733
T140	-44.97372	-21.22388
T141	-44.98097	-21.22561
T142	-44.97827	-21.22882
T143	-44.98302	-21.22777
T144	-44.97062	-21.22387
T145	-44.97044	-21.22359
T146	-44.97811	-21.22539



!Pontos das cargas
!Roniell
C26	-44.97509	-21.22793
C27	-44.97385	-21.22819
C28	-44.97329	-21.22801
C31	-44.97499	-21.22719
C53	-44.97461	-21.23020
C54	-44.97477	-21.23132
C55	-44.97580	-21.23207
C56	-44.97671	-21.23052
C57	-44.97397	-21.23081
C58	-44.97401	-21.23186
C59	-44.97530	-21.22620
C60	-44.97599	-21.22640
C61	-44.97729	-21.22624
C62	-44.97768	-21.22675
C63	-44.97774	-21.22708
C64	-44.97782	-21.22780
C65	-44.97783	-21.22805
C68	-44.97214	-21.23049
C69	-44.97324	-21.23002
C70	-44.97393	-21.22930
C71	-44.97430	-21.22885
C72	-44.97471	-21.22829
C73	-44.97442	-21.22691
C74	-44.97424	-21.22676
C75	-44.97433	-21.22654
C76	-44.97345	-21.22675
C77	-44.97174	-21.22737
C78	-44.97045	-21.22714
C79	-44.97178	-21.22677
C80	-44.96896	-21.22721
C81	-44.97235	-21.22558
C82	-44.97107	-21.22423
C83	-44.96840	-21.22075
C84	-44.96683	-21.22272
C85	-44.97361	-21.22532
C86	-44.97014	-21.23215
C87	-44.97603	-21.22712
C88	-44.97685	-21.22786
C89	-44.97736	-21.22712
C90	-44.97849	-21.22825
C91	-44.97633	-21.22965
C92	-44.97321	-21.22391
C93	-44.97427	-21.22421
C94	-44.97404	-21.22514
C95	-44.97462	-21.22560
C96	-44.97742	-21.22553
C97	-44.97753	-21.22844
C98	-44.97645	-21.22871
C99	-44.97581	-21.22923
C100	-44.97256	-21.23117
C101	-44.97105	-21.23001
C102	-44.96970	-21.22979


!Pontos das cargas
!Alexandre UFLA

C115	-44.97970	-21.22691
C116	-44.97986	-21.22768
C117	-44.98079	-21.22689
C118	-44.98154	-21.22692
C119	-44.98125	-21.22780
C120	-44.98303	-21.22751
C121	-44.98300	-21.22709
C122	-44.98315	-21.22647
C123	-44.98138	-21.22625
C124	-44.97912	-21.22525
C125	-44.98030	-21.22468
C126	-44.98174	-21.22976
C127	-44.98071	-21.22839
C128	-44.97767	-21.23038
C129	-44.98076	-21.23127
C130	-44.98871	-21.22788
C131	-44.98985	-21.22882
C132	-44.99135	-21.22855
C133	-44.99219	-21.22900
C134	-44.99279	-21.22917
C135	-44.99199	-21.22973
C136	-44.99187	-21.23007
C137	-44.99204	-21.23093
C138	-44.99305	-21.23147
C139	-44.99260	-21.23239
C140	-44.99306	-21.23247
C141	-44.99048	-21.23185
C142	-44.99034	-21.23050
C143	-44.98968	-21.23006
C144	-44.98802	-21.23055
		


!Pontos dos cargas
!Alexandre Araujo
C145	-44.98013	-21.22399
C146	-44.97935	-21.22401
C147	-44.97828	-21.22432
C148	-44.97904	-21.22466
C149	-44.97851	-21.22475
C150	-44.98296	-21.22491
C151	-44.98893	-21.22709
C152	-44.97409	-21.22387
C153	-44.98073	-21.22538
C154	-44.97847	-21.22881
C155	-44.98328	-21.22774
C156	-44.97080	-21.22385
C157	-44.97050	-21.22347
C158	-44.97838	-21.22530









!CARGAS EM MT

!C110	-44.97857,	-21.2257
!C111	-44.97862,	-21.22729
!C112	-44.97863,	-21.22747
!C113	-44.97909,	-21.22846
!C114	-44.97825,	-21.22883

!Pontos INVERSORES E TRAFOS SISTEMA FV

TFV	-44.97212,	-21.22471
QDABI	-44.97494,	-21.23071	
QD01 	-44.97166,	-21.22473
QD02	-44.97174,	-21.22452
QD03	-44.97218,	-21.22474		
QD04	-44.97229,	-21.22451
QD05	-44.97202,	-21.22495
QD06	-44.97265,	-21.22505
QD07	-44.9728,	-21.22485
QD08	-44.97302,	-21.22463
QD09	-44.97246,	-21.22425
QD10	-44.97187,	-21.22433
QD11	-44.9725,	-21.22528
QD12	-44.97202,	-21.22409
QDGFV0	-44.97205,	-21.22468





